,username,datetime,value
0,HASD0006,"03-02-2020, 15:34:34",141
1,HASD0006,"03-02-2020, 15:34:35",140
2,HASD0006,"03-02-2020, 15:34:36",140
3,HASD0006,"03-02-2020, 15:34:37",140
4,HASD0006,"03-02-2020, 15:34:38",140
5,HASD0006,"03-02-2020, 15:34:39",139
6,HASD0006,"03-02-2020, 15:34:40",139
7,HASD0006,"03-02-2020, 15:34:41",139
8,HASD0006,"03-02-2020, 15:34:42",140
9,HASD0006,"03-02-2020, 15:34:43",140
10,HASD0006,"03-02-2020, 15:34:44",139
11,HASD0006,"03-02-2020, 15:34:45",140
12,HASD0006,"03-02-2020, 15:34:46",140
13,HASD0006,"03-02-2020, 15:34:47",141
14,HASD0006,"03-02-2020, 15:34:48",141
15,HASD0006,"03-02-2020, 15:34:49",140
16,HASD0006,"03-02-2020, 15:34:50",140
17,HASD0006,"03-02-2020, 15:34:51",140
18,HASD0006,"03-02-2020, 15:34:52",140
19,HASD0006,"03-02-2020, 15:34:53",140
20,HASD0006,"03-02-2020, 15:34:54",140
21,HASD0006,"03-02-2020, 15:34:55",140
22,HASD0006,"03-02-2020, 15:34:56",140
23,HASD0006,"03-02-2020, 15:34:57",141
24,HASD0006,"03-02-2020, 15:34:58",141
25,HASD0006,"03-02-2020, 15:34:59",141
26,HASD0006,"03-02-2020, 15:35:00",141
27,HASD0006,"03-02-2020, 15:35:01",141
28,HASD0006,"03-02-2020, 15:35:02",141
29,HASD0006,"03-02-2020, 15:35:03",141
30,HASD0006,"03-02-2020, 15:35:04",141
31,HASD0006,"03-02-2020, 15:35:08",141
32,HASD0006,"03-02-2020, 15:35:09",141
33,HASD0006,"03-02-2020, 15:35:10",140
34,HASD0006,"03-02-2020, 15:35:11",139
35,HASD0006,"03-02-2020, 15:35:12",140
36,HASD0006,"03-02-2020, 15:35:13",140
37,HASD0006,"03-02-2020, 15:35:14",141
38,HASD0006,"03-02-2020, 15:35:15",141
39,HASD0006,"03-02-2020, 15:35:17",140
40,HASD0006,"03-02-2020, 15:35:20",140
41,HASD0006,"03-02-2020, 15:35:24",141
42,HASD0006,"03-02-2020, 15:35:25",141
43,HASD0006,"03-02-2020, 15:35:26",141
44,HASD0006,"03-02-2020, 15:35:28",141
45,HASD0006,"03-02-2020, 15:35:29",141
46,HASD0006,"03-02-2020, 15:35:30",141
47,HASD0006,"03-02-2020, 15:35:31",140
48,HASD0006,"03-02-2020, 15:35:32",139
49,HASD0006,"03-02-2020, 15:35:33",139
50,HASD0006,"03-02-2020, 15:35:34",139
51,HASD0006,"03-02-2020, 15:35:35",139
52,HASD0006,"03-02-2020, 15:35:36",138
53,HASD0006,"03-02-2020, 15:35:43",138
54,HASD0006,"03-02-2020, 15:35:44",138
55,HASD0006,"03-02-2020, 15:35:45",137
56,HASD0006,"03-02-2020, 15:35:46",136
57,HASD0006,"03-02-2020, 15:35:47",135
58,HASD0006,"03-02-2020, 15:35:48",136
59,HASD0006,"03-02-2020, 15:35:49",135
60,HASD0006,"03-02-2020, 15:35:50",135
61,HASD0006,"03-02-2020, 15:35:51",136
62,HASD0006,"03-02-2020, 15:35:52",136
63,HASD0006,"03-02-2020, 15:35:53",136
64,HASD0006,"03-02-2020, 15:35:54",135
65,HASD0006,"03-02-2020, 15:35:55",135
66,HASD0006,"03-02-2020, 15:35:56",135
67,HASD0006,"03-02-2020, 15:35:57",136
68,HASD0006,"03-02-2020, 15:35:58",137
69,HASD0006,"03-02-2020, 15:35:59",136
70,HASD0006,"03-02-2020, 15:36:00",136
71,HASD0006,"03-02-2020, 15:36:01",137
72,HASD0006,"03-02-2020, 15:36:03",136
73,HASD0006,"03-02-2020, 15:36:04",136
74,HASD0006,"03-02-2020, 15:36:05",136
75,HASD0006,"03-02-2020, 15:36:06",136
76,HASD0006,"03-02-2020, 15:36:07",137
77,HASD0006,"03-02-2020, 15:36:08",137
78,HASD0006,"03-02-2020, 15:36:09",137
79,HASD0006,"03-02-2020, 15:36:10",136
80,HASD0006,"03-02-2020, 15:36:11",137
81,HASD0006,"03-02-2020, 15:36:12",137
82,HASD0006,"03-02-2020, 15:36:13",139
83,HASD0006,"03-02-2020, 15:36:14",139
84,HASD0006,"03-02-2020, 15:36:15",139
85,HASD0006,"03-02-2020, 15:36:16",139
86,HASD0006,"03-02-2020, 15:36:17",138
87,HASD0006,"03-02-2020, 15:36:18",138
88,HASD0006,"03-02-2020, 15:36:19",138
89,HASD0006,"03-02-2020, 15:36:20",137
90,HASD0006,"03-02-2020, 15:36:21",137
91,HASD0006,"03-02-2020, 15:36:22",135
92,HASD0006,"03-02-2020, 15:36:23",93
93,HASD0006,"03-02-2020, 15:36:24",88
94,HASD0006,"03-02-2020, 15:36:25",86
95,HASD0006,"03-02-2020, 15:36:26",84
96,HASD0006,"03-02-2020, 15:36:27",82
97,HASD0006,"03-02-2020, 15:36:28",81
98,HASD0006,"03-02-2020, 15:36:29",80
99,HASD0006,"03-02-2020, 15:36:30",79
100,HASD0006,"03-02-2020, 15:36:31",79
101,HASD0006,"03-02-2020, 15:36:32",80
102,HASD0006,"03-02-2020, 15:36:33",79
103,HASD0006,"03-02-2020, 15:36:34",80
104,HASD0006,"03-02-2020, 15:36:35",80
105,HASD0006,"03-02-2020, 15:36:36",81
106,HASD0006,"03-02-2020, 15:36:37",81
107,HASD0006,"03-02-2020, 15:36:38",81
108,HASD0006,"03-02-2020, 15:36:39",82
109,HASD0006,"03-02-2020, 15:36:40",83
110,HASD0006,"03-02-2020, 15:36:41",84
111,HASD0006,"03-02-2020, 15:36:42",84
112,HASD0006,"03-02-2020, 15:36:43",83
113,HASD0006,"03-02-2020, 15:36:44",84
114,HASD0006,"03-02-2020, 15:36:45",83
115,HASD0006,"03-02-2020, 15:36:46",82
116,HASD0006,"03-02-2020, 15:36:47",81
117,HASD0006,"03-02-2020, 15:36:48",81
118,HASD0006,"03-02-2020, 15:36:49",81
119,HASD0006,"03-02-2020, 15:36:50",81
120,HASD0006,"03-02-2020, 15:36:51",82
121,HASD0006,"03-02-2020, 15:36:52",82
122,HASD0006,"03-02-2020, 15:36:53",82
123,HASD0006,"03-02-2020, 15:36:54",83
124,HASD0006,"03-02-2020, 15:36:55",83
125,HASD0006,"03-02-2020, 15:36:56",83
126,HASD0006,"03-02-2020, 15:36:57",83
127,HASD0006,"03-02-2020, 15:36:58",83
128,HASD0006,"03-02-2020, 15:36:59",84
129,HASD0006,"03-02-2020, 15:37:00",84
130,HASD0006,"03-02-2020, 15:37:01",84
131,HASD0006,"03-02-2020, 15:37:02",84
132,HASD0006,"03-02-2020, 15:37:03",85
133,HASD0006,"03-02-2020, 15:37:04",85
134,HASD0006,"03-02-2020, 15:37:05",85
135,HASD0006,"03-02-2020, 15:37:06",85
136,HASD0006,"03-02-2020, 15:37:07",85
137,HASD0006,"03-02-2020, 15:37:08",85
138,HASD0006,"03-02-2020, 15:37:09",85
139,HASD0006,"03-02-2020, 15:37:10",85
140,HASD0006,"03-02-2020, 15:37:11",85
141,HASD0006,"03-02-2020, 15:37:12",86
142,HASD0006,"03-02-2020, 15:37:13",86
143,HASD0006,"03-02-2020, 15:37:14",87
144,HASD0006,"03-02-2020, 15:37:15",87
145,HASD0006,"03-02-2020, 15:37:16",87
146,HASD0006,"03-02-2020, 15:37:17",86
147,HASD0006,"03-02-2020, 15:37:18",86
148,HASD0006,"03-02-2020, 15:37:19",86
149,HASD0006,"03-02-2020, 15:37:20",86
150,HASD0006,"03-02-2020, 15:37:21",86
151,HASD0006,"03-02-2020, 15:37:22",86
152,HASD0006,"03-02-2020, 15:37:23",86
153,HASD0006,"03-02-2020, 15:37:24",86
154,HASD0006,"03-02-2020, 15:37:25",86
155,HASD0006,"03-02-2020, 15:37:26",86
156,HASD0006,"03-02-2020, 15:37:27",86
157,HASD0006,"03-02-2020, 15:37:28",86
158,HASD0006,"03-02-2020, 15:37:29",86
159,HASD0006,"03-02-2020, 15:37:30",86
